Titel in Originalschrift,Titel,Person/Institution,Weitere Beteiligte,Verantwort.angabe,Quelle,Werktitel,Ort/Verlag,Jahr/Datierung,Weitere Angaben,Umfang/Illustr./Format,Verknüpfte Titel,Sprache,Jahr/Datierung,Weitere Titel,Ausgabe,Schlagwörter,Regensburger Verbundklassifikation,Basisklassifikation,Ordnungsgruppe,ISBN/ISSN/ISMN,Beschreibung,Einzelbände/Artikel,Linksammlung,Standort,Signaturen,Zum Inhalt,Incipit/Explicit,lds49,Univ. Angaben,Signatur/Inv-Nr. etc.,Bestandsangabe,Verfügbarkeit,Unselbst. Werk / Artikel,Bandangaben,Benutzungsrechte,Hinweis,Vorgänger/Nachfolger etc.,Zitierlink,Zitierlink,Permalink
巴赫曼作品集,Baheman zuopinji,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Han, Ruixiang, 1952- [HerausgeberIn] ",Baheman Yinggeboge shu. Han Ruixiang xuanbian,,Werke,Beijing : Renmin Wenxue Chubanshe,2006,,"21, 3, 387 S.; Ill.; 21 cm",,Chinesisch,,,,,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 7020058574,In chines. Schrift. - Teilausg.,,,,,,,,,1972819-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08936315,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21331663500003338&context=L&vid=ONB&lang=de_DE
,"Von einem Land, einem Fluß und den Seen","Helm, Anna, 1972- [GeistigeR SchöpferIn]. [BuchkünstlerIn] ;Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,"Idee, Satz und Ausführung Anna Helm ; Ingeborg Bachmann",,,Halle : Edition Helm,Juni 2011,"Aus: Ingeborg Bachmann: Sämtliche Gedichte, Piper, 1978",32 ungezählte Seiten,,Deutsch,,Gesamttitel: Edition Helm Buch Nr. 48,,Künstlerbuch,,,,,,,,,,,,,,2088998-E ALT LUX,,,,,,,,,http://data.onb.ac.at/rec/AC13421040,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21298480250003338&context=L&vid=ONB&lang=de_DE
,Früher Mittag : Gedicht ; [herausgegeben anläßlich der Ausstellung von Alpha Presse in der Galerie Hudson River Press in New York],,"Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ;Müller, Wol, 1951- [IllustratorIn] ",von Ingeborg Bachmann. [Originalmalereien und Collagen von Wol Müller],,,"Sulzbach : Alpha-Presse;Palma de Mallorca : S'Art S.A. [u.a.]",2004,"Gedicht entnommen dem Band: Gedichte, Erzählungen, Hörspiel, Essays / Ingeborg Bachmann. München, 1964",[17] Bl.; Ill.,,Deutsch,,"Bachmann, Ingeborg: Früher Mittag;Augen / Blicke",Aufl. 26 Ex..,"Visuelle Poesie;Künstlerbuch;Müller, Wol, 1951-;Collage;Künstlerbuch;Luxusausgabe",,,,,"Anmerkungen:  Fotos entnommen einer Black Box Fotosession für ein gespaltenes Portrait ; Schrift gesetzt in FrnkGoth Bk BT und FrnkGothITC Hv BT ; Insgesamtausführung im Siebdruck und Digitaldruck auf Büttenvorsatzpapier, Aquarellkarton und Japanpapier ;Angaben zum Inhalt:  3 Kompositionen für 6 Becken und Collage-Einblendungen von Wol Müller: 1. Im Glanz der Augen, 2. In zwei Zeiten sehen was geht. 3. Veränderbar im Augenblick zerrinnen, Einspielung und Mischung im Klangschale Tonstudio Sulzbach;Begleitmaterial:  1 CD ",,,,,,,,,1751021-F ALT LUX,,,,,,,,,http://data.onb.ac.at/rec/AC04325070,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21364066690003338&context=L&vid=ONB&lang=de_DE
,Ingeborg Bachmann : Bilder aus ihrem Leben ; mit Texten aus ihrem Werk,,"Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ;Hapkemeyer, Andreas, 1955- [HerausgeberIn] ",hrsg. von Andreas Hapkemeyer,,,München [u.a.] : Piper,1992,,"161 S.; überw. Ill., Notenbeisp.",,Deutsch,,Gesamttitel: Serie Piper 658,"Neuausg., 4. Aufl. (3. Aufl. dieser Ausg.), 22. - 25. Tsd. (15. - 18. Tsd. dieser Ausg.).","Bachmann, Ingeborg, 1926-1973;Bildband",,,,ISBN: 3492106587,,,,,,,,,,1066899-B.658 HAN MAG;1426780-B LIT MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00979049,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337147570003338&context=L&vid=ONB&lang=de_DE
,"Der dunkle Schatten, dem ich schon seit Anfang folge : Ingeborg Bachmann - Vorschläge zu einer neuen Lektüre des Werks","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ;Pichl, Robert [VerfasserIn] ","Höller, Hans, 1947- [HerausgeberIn] ","hrsg. von Hans Höller. Mit d. Erstveröff. d. Erzählfragments ""Gier"" [von Ingeborg Bachmann]. Aus d. literar. Nachlaß hrsg. von Robert Pichl",,,Wien : München : Löcker,1982,,212 S.; 22 cm,,Deutsch,,,,"Bachmann, Ingeborg, 1926-1973;Aufsatzsammlung",GN 2947;GN 2949,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 3854090293,"Normierter Titel:  Bachmann, Ingeborg 1926-1973 Gier ;Anmerkungen:  Literaturangaben ",AC01177631,,,,,,,,1200446-B NEU MAG;2288755-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01177631,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21352355240003338&context=L&vid=ONB&lang=de_DE
,Wir müssen wahre Sätze finden : Gespräche und Interviews,"Bachmann, Ingeborg, 1926-1973 [InterviewteR] ","Koschel, Christine, 1936-2024 [HerausgeberIn] ",Ingeborg Bachmann. Hrsg. von Christine Koschel ...,,,München [u.a.] : Piper,1983,,164 S.,,Deutsch,,,,"Bachmann, Ingeborg, 1926-1973;Interview",GN 2947,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 3492027245,,,,,,,,,,1218555-B NEU MAG;2116936-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00816481,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21336236870003338&context=L&vid=ONB&lang=de_DE
,Stimme und Sprache : Ingeborg Bachmanns Version des Undine-Themas,"Strohschneider-Kohrs, Ingrid, 1922-2014 [VerfasserIn] ;Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingrid Strohschneider-Kohrs,,,München : Kirchheim,2003,,62 S.; 21 cm,,Deutsch,,,,"Bachmann, Ingeborg Undine geht -- Automatisch aus GBV_2011-10 2012-06-12;Undine (Tale);Bachmann, Ingeborg, 1926-1973, Undine geht;Zusammenstellung;Erzählung",GN 2949;GN 2947,18.10 - Deutsche Literatur,,ISBN: 3874100960,"Normierter Titel:  Bachmann, Ingeborg 1926-1973 Version des Undine-Themas ;Anmerkungen:  Literaturverz. S. 58 - [63] ",,,,,,,,,1722023-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03946260,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21360058630003338&context=L&vid=ONB&lang=de_DE
,Wenn einer fortgeht,"Harms, Anja, 1960- [GeistigeR SchöpferIn]. [BuchkünstlerIn] ;Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,"Ingeborg Bachmann. Linolschnitte, Handsatz, Buchdruck und buchbinderische Verarbeitung: Anja Harms",,,Oberursel,2016,"Ingeborg Bachmann: Werke. Bd. 1; ©1978 Piper Verlag GmbH, München: Gedichte",18 ungezählte Blätter; Illustrationen; 57 x 17 cm Querformat,,Deutsch,,,Dieses Buch erscheint in einer einmaligen numerierten und signierten Auflage von 25 Exemplaren.,Künstlerbuch;Luxusausgabe;Linolschnitt,,06.22 - Buchgestaltung,,,"Anmerkungen:  8 Blätter (schwarz und weiß) mit Linolschnitten in Schmetterlingsbindung, 10 Blätter mit Text, dazu Zwischenblätter aus Gaze. - Vorder- und Hinterdeckel aus dickem Filz (schwarz) ; Fadenbindung ;Exemplar/Standort:  ALT;Hinweise:  Ex. 2/25 ; signiert von Anja Harms Einband:  In einer Papp-Kassette mit einem Rahmen aus Holz (schwrz lackiert), Vorderdeckel mit Linolschnitt, innen mit rotem Papier ausgekleidet ",,,,,,,,,2088144-F ALT LUX,,,,,,,,,http://data.onb.ac.at/rec/AC13406173,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21304116500003338&context=L&vid=ONB&lang=de_DE
,Anrufung der großen Dichterin : zum Gedächtnis des 10. Todestages von Ingeborg Bachmann ; 1973 - 1983,,"Kuczyński, Krzysztof A., 1948- [HerausgeberIn] ;Bachmann, Ingeborg, 1926-1973 [GefeierteR] ",[red.: Krzysztof A. Kuczyński ...],,,Łódź : Wydawn. Uniwersytetu Łódzkiego,1984,,155 S.,,Deutsch,,Gesamttitel: Acta Universitatis Lodziensis : Folia litteraria 11,,,,,,,Anmerkungen:  Poln. Bibliogr. I. Bachmann S. [145] - 150 ,,,,,,,,,"1187615-B.D,11 NEU PER;1187615-B.D,... NEU PER",,,,,,,,,http://data.onb.ac.at/rec/AC01573992,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339707670003338&context=L&vid=ONB&lang=de_DE
,Kalp zamanı : mektuplar ; Paul Celan - Max Frisch ve Ingeborg Bachmann - Gisèle Celan-Lestrange mektuplaşması ile birlikte,,"Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ;Badiou, Bertrand, 1957- [HerausgeberIn] ",Ingeborg Bachmann ; Paul Celan. Yayına hazırlayanlar: Bertrand Badiou ... Çeviren: İlknur Özdemir,,Herzzeit,İstanbul : Kırmızı Kedi,2015,,317 S.; 22 cm,,Türkisch,,Gesamttitel: Kırmızı Kedi yayınevi ; 424 : Çağdaş dünya edebiyatı 51,1. basım.,"Bachmann, Ingeborg, 1926-1973;Briefsammlung 1948-1961;Celan, Paul, 1920-1970;Briefsammlung 1948-1967;Bachmann, Ingeborg, 1926-1973;Celan, Paul, 1920-1970;Briefsammlung",,17.98 - Textsammlungen;18.10 - Deutsche Literatur,,ISBN: 9786059908580,,,,,,,,,,2081778-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC13296411,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21301841260003338&context=L&vid=ONB&lang=de_DE
,Tiempo del corazón : correspondencia ; con la correspondencia entre Paul Celan y Max Frisch y entre Ingeborg Bachmann y Gisèle Celan-Lestrange,,"Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ;Badiou, Bertrand, 1957- [HerausgeberIn] ",Fondo de Cultura Económica. Ingeborg Bachmann ; Paul Celan. Ed. y comentario de Bertrand Badiou ... [Trad. de Griselda Mársico con la colab. de Uwe Schoor],,Herzzeit,México : Fondo de Cultura Económica,2012,,493 S.; Ill.; 21 cm,,Spanisch,,Gesamttitel:  Tezontle,1. ed. en español.,"Bachmann, Ingeborg, 1926-1973;Briefsammlung 1948-1961;Celan, Paul, 1920-1970;Briefsammlung 1948-1967;Bachmann, Ingeborg, 1926-1973;Celan, Paul, 1920-1970;Briefsammlung",,18.10 - Deutsche Literatur;17.98 - Textsammlungen,,ISBN: 9789505579068; ISBN: 9505579063,Anmerkungen:  Literaturangaben ,,,,,,,,,2091885-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC13296418,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21301841010003338&context=L&vid=ONB&lang=de_DE
,Klagenfurt,,"Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ;Trenkwalder, Hans G. [MitwirkendeR] ",hrsg. von Hans G. Trenkwalder. Texte von Ingeborg Bachmann ...,,,Klagenfurt : Carinthia-Verl.,1982,,159 S.; überwiegend Ill.,,Deutsch,,,,Klagenfurt;Bildband,,,,ISBN: 3853781977,,,,,,,,,,1198055-D NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04677151,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21251226380003338&context=L&vid=ONB&lang=de_DE
,An die Sonne,"Wichtrey, Antje, 1966- [GeistigeR SchöpferIn]. [IllustratorIn]. [BuchkünstlerIn] ;Bachmann, Ingeborg, 1926-1973 [TextdichterIn] ",,Holzschnitte: Antje Wichtrey ; Gedicht: Ingeborg Bachmann,,,München,Februar 2000,,22 ungezählte Seiten,,Deutsch,,,Auflage 30.,Künstlerbuch;Farbholzschnitt;Luxusausgabe,,21.99 - Sonstige Kunstformen;06.22 - Buchgestaltung,,,"Anmerkungen:  Farbholzschnitte, Handabzug ; Texte, Handschrift. - Schmetterlingsbindung ;Anmerkungen:  Copyright bei Piper Verlag GmbH, München 1978. Quelle: Werke Bd. 1, Gedichte, Seite 136 - 137 ",,,,,,,,,2066163-F ALT LUX,,,,,,,,,http://data.onb.ac.at/rec/AC12738289,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21294167500003338&context=L&vid=ONB&lang=de_DE
,Klagenfurt einst,,"Prix, Hansgeorg [HerausgeberIn] ;Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ","Hansgeorg Prix. Mit Texten von Ingeborg Bachmann, ...",,,Klagenfurt : Heyn,1993,,151 S.; überw. Ill.; 25 cm,,Deutsch,,,,Klagenfurt;Bildband;Geschichte 1868-1993,NR 8348,,,ISBN: 3853666485,,,,,,,,,,1409235-C NEU MAG;1409234-C KAR MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00815671,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21336213750003338&context=L&vid=ONB&lang=de_DE
,"Hände voll Lilien: 80 Stimmen zum Werk von Ingeborg Bachmann : Gedenkbuch zum 80. Geburtstag von Ingeborg Bachmann, 25.06.1926 Klagenfurt - 17.10.1973 Rom",,"Tzaneva, Magdalena, 1969- [HerausgeberIn] ;Bachmann, Ingeborg, 1926-1973 [GefeierteR] ",hrsg. von Magdalena Tzaneva,,,Berlin : LiDi EuropEdition,2006,,"290 S.; Ill., Notenbeisp.; 30 cm",,Deutsch,,Gesamttitel: Reihe Hommage 1,,"Bachmann, Ingeborg, 1926-1973;Aufsatzsammlung",GN 2949,18.08 - Deutsche Sprache und Literatur,,ISBN: 9783000187773; ISBN: 3000187774,Anmerkungen:  Literaturangaben ,AC05756443,,,,,,,,1835994-C HAN MAG,,,,,,,,,http://data.onb.ac.at/rec/AC05756443,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21224279430003338&context=L&vid=ONB&lang=de_DE
,Kärnten : Natur und Kultur,"Leischner, Hubert, 1909-1999 [FotografIn] ","Bachmann, Ingeborg, 1926-1973 [VerfasserIn von ergänzendem Text] ",mit zwei Erzählungen von Ingeborg Bachmann u. Fotos von Hubert Leischner,,,Klagenfurt : Heyn,1994,,220 S.; überwiegend Ill.; 28 cm,,Deutsch,,,,Kärnten;Bildband,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3853667309,,,,,,,,,,1422043-D KAR MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00944624,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21336721160003338&context=L&vid=ONB&lang=de_DE
,Hommage an Ingeborg Bachmann,"Golde, Sabine, 1964- [KünstlerIn] ;Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Sabine Golde,,,Leipzig : Carivari-Presse,2023,,"1 Leporello [4 Blätter]; 34,4 x 7 cm in Schuber",,Deutsch,,Neue Sprache;Keine neue Welt ohne neue Sprache,,Künstlerbuch,,,,,Anmerkungen:  Faltobjekt mit 2 verschiedenen Faltmöglichkeiten ;Exemplar/Standort:  2267728-D ALT LUX;Hinweise:  Ex. 01/2023. - von der Künstlerin signiert ,,,,,,,,,2267728-D ALT LUX,,,,,,,,,http://data.onb.ac.at/rec/AC17387916,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21530574020003338&context=L&vid=ONB&lang=de_DE
,"Ingeborg Bachmann - Schreiben gegen den Krieg : eine Ausstellung ; [Katalog zur Ausstellung ""Schreiben gegen den Krieg. Ingeborg Bachmann 1926 - 1973""] = Ingeborg Bachmann - writing against war",,"Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ;Höller, Hans, 1947- [HerausgeberIn] ;Literatur-Verein zur Förderung von Werk- und Kunstverständnis Ingeborg Bachmann [MitwirkendeR] ",[erstellt vom Literatur-Verein zur Förderung von Werk- und Kunstverständnis Ingeborg Bachmann]. Hans Höller ; Helga Pöchheim ; Karl Ivan Solibakke (Hg.),,,Wien : Löcker,2008,,166 S.; zahlr. Ill.; 21 cm,,Deutsch;Englisch,,,,"Bachmann, Ingeborg, 1926-1973;Krieg, Motiv;Gewalt, Motiv;Aufsatzsammlung;Bachmann, Ingeborg, 1926-1973;Krieg, Motiv;Quelle",GN 2949,17.71 - Literaturgeschichte;17.94 - Literarische Einflüsse und Beziehungen. Rezeption;17.93 - Literarische Stoffe. literarische Motive. literarische Themen;18.10 - Deutsche Literatur,,ISBN: 9783854094944,Text dt. u. engl.;Anmerkungen:  Literaturangaben ,,,,,,,,,1903617-B NEU MAG;1903616-B LIT MAG,,,,,,,,,http://data.onb.ac.at/rec/AC07115534,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21222546110003338&context=L&vid=ONB&lang=de_DE
,"Assoziation, Analogie und Verweis : Ingeborg Bachmanns Roman ""Malina"" - Musik als literarische Methode","Aistleitner, Ulrike [VerfasserIn] ;Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,eingereicht von Ulrike Aistleitner,,,,2001,,138 Bl.; Notenbeisp.,,Deutsch,,,,"Bachmann, Ingeborg, 1926-1973, Malina;Roman;Musik, Motiv;Bachmann, Ingeborg, 1926-1973, Malina;Erzähltechnik;Musik",,,,,"Normierter Titel:  Bachmann, Ingeborg 1926-1973 Malina ",,,,,,,,"Wien, Univ., Dipl.-Arb., 2001;Institution: Universität Wien",1625803-C NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03209600,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21345972440003338&context=L&vid=ONB&lang=de_DE
,Kritische Wege der Landnahme : Ingeborg Bachmann im Blickfeld der neunziger Jahre ; Londoner Symposium 1993 zum 20. Todestag der Dichterin (17.10.1973),,"Pichl, Robert [HerausgeberIn] ;Bachmann, Ingeborg, 1926-1973 [GefeierteR] ",hrsg. von Robert Pichl ...,,,Wien : Hora-Verl.,1994,Auch als: Publications of the Institute of Germanic Studies (University of London) ; 60,303 S.; Ill.; 21 cm,,Deutsch,,Nebent.: Zu Ingeborg Bachmann;Ingeborg Bachmann;Zu Ingeborg Bachmann;Gesamttitel: Sonderpublikationen der Grillparzer-Gesellschaft 2,,"Bachmann, Ingeborg ; 1926-1973 ; Criticism and interpretation ; Congresses;Bachmann, Ingeborg ; 1926-1973 ; Bibliography;Bachmann, Ingeborg, 1926-1973;Bachmann, Ingeborg, 1926-1973, v:1926-1973;Kongreß;London 1993",GN 2949,18.10 - Deutsche Literatur,,ISBN: 3213000507; ISBN: 085457171X,Anmerkungen:  Bibliogr. u. Literaturverz. S. 163 - 292 ;Enth. außerdem: Ingeborg Bachmann Bibliographie ; Ende 1988 - Anfang 1993 (Nachtrag 4),AC01047315,,,,,,,,1436895-B NEU MAG;1280346-B.2 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC01047315,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337440710003338&context=L&vid=ONB&lang=de_DE
,Untergegangen im Meer,"Harms, Anja, 1960- [KünstlerIn] ;Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,"Linolschnitte, Collagen, Satz, Buchdruck und buchbinderische Verarbeitung: Anja Harms",,,Oberursel : Anja Harms,2015,,60 ungezählte Seiten,,Deutsch,,,"Einmalige, numerierte und signierte Auflage von 25 Exemplaren.",Künstlerbuch,,,,,Anmerkungen:  Aus: Ingeborg Bachmann Werke. Band 1: Gedichte ;Exemplar/Standort:  2242904-D ALT LUX;Hinweise:  Ex. 7/25 ; von der Künstlerin signiert Einband:  Buchblock aus Himalaya- und Packpapier ; in vier Lagen auf echte Bünde geheftet ; lose in dreiteiliger Mappe ,,,,,,,,,2242904-D ALT LUX,,,,,,,,,http://data.onb.ac.at/rec/AC16983319,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21512807030003338&context=L&vid=ONB&lang=de_DE
,Gedichte : italienisch und deutsch,"Ungaretti, Giuseppe, 1888-1970 [VerfasserIn] ","Bachmann, Ingeborg, 1926-1973 [ÜbersetzerIn] ",Giuseppe Ungaretti. Übertr. u. Nachw. von Ingeborg Bachmann,,,Frankfurt am Main : Suhrkamp,1961,,156 S.; 19 cm,,Deutsch;Italienisch,,Gesamttitel: Bibliothek Suhrkamp 70,1. - 5. Tsd..,,,,,ISBN: 3518010700,"Anmerkungen:  Hier auch später erschienene, unveränderte Nachdrucke (1982) ",,,,,,,,,812861-B.70 NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01663322,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21282117630003338&context=L&vid=ONB&lang=de_DE
,Concerto pour main gauche,"Damezin, Yann [VerfasserIn] ","Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ",Yann Damezin,,,Saint-Avertin : La Boîte à Bulles,novembre 2022,,108 ungezählte Seiten,,Französisch,,,,"Comic ; Graphic Novel;Pianist;Armamputation;Psychische Konstitution;Klavierspiel;Wittgenstein, Paul, 1887-1961;Ravel, Maurice, 1875-1937, Konzerte, Klavier, linke Hand, Orchester, D-Dur",,21.39 - Graphik: Sonstiges;17.97 - Texte eines einzelnen Autors;18.23 - Französische Literatur,,ISBN: 9782849534489,,,,,,,,,,2229858-C NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC16782245,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21503746060003338&context=L&vid=ONB&lang=de_DE
,Ingeborg-Bachmann-Bibliographie 1977/78 - 1981/82 : Nachträge und Ergänzungen zum 10. Todestag von Ingeborg Bachmann ; (17. Oktober 1983),,"Bareiss, Otto [MitwirkendeR] ;Bachmann, Ingeborg, 1926-1973 [GefeierteR] ",bearb. von Otto Bareiss,,,Bolligen bei Bern : Eigen-Verl.,1985,Grundwerk u.d.T.: Ingeborg Bachmann / Otto Bareiss,S. 173 - 217,,Deutsch,,,,"Bachmann, Ingeborg, 1926-1973;Bibliographie",GN 2949,18.08 - Deutsche Sprache und Literatur,,,"Anmerkungen:  Aus: Jahrbuch der Grillparzer-Gesellschaft ; 3,15 ",,,,,,,,,1350110-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08931722,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21330540200003338&context=L&vid=ONB&lang=de_DE
,"Ingeborg Bachmann : zu ihren Essays, Gedichten und Briefen an den ""Akzente""-Herausgeber Walter Höllerer",,"Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ;Preuß, Patricia [MitwirkendeR] ;Literaturarchiv Sulzbach-Rosenberg [MitwirkendeR] ",[Hrsg.: Literaturarchiv Sulzbach-Rosenberg e.V. Text und Red.: Patricia Preuß],,,Sulzbach-Rosenberg : Literaturarchiv Sulzbach-Rosenberg,2002,,63 S.; Ill.; 21 cm,,Deutsch,,Gesamttitel: Briefe und Texte 2,,"Bachmann, Ingeborg Criticism and interpretation -- Automatisch aus GBV_2011-10 2012-06-10 ; Höllerer, Walter -- Automatisch aus GBV_2011-10 2012-06-10;Bachmann, Ingeborg, 1926-1973;Akzente, Zeitschrift;Bachmann, Ingeborg, 1926-1973;Brief;Höllerer, Walter, 1922-2003",GN 2949;GN 2947,,,ISBN: 3980844218,Anmerkungen:  Literaturverz. S. 61 - 62 ,,,,,,,,,1678575-B.2 NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03594130,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21356710340003338&context=L&vid=ONB&lang=de_DE
,Das dreissigste Jahr : Text & Kommentar,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Baltz-Otto, Ursula, 1940- [MitwirkendeR] ",Ingeborg Bachmann. [Kommentiert von Ursula Baltz-Otto],,,Bamberg : Buchner,2004,,98 S.; graph. Darst.; 20 cm,,Deutsch,,Gesamttitel: Buchners Schulbibliothek der Moderne 18,1. Aufl..,"Bachmann, Ingeborg, 1926-1973, Das dreißigste Jahr;Zusammenstellung;Erzählung;Deutschunterricht;Lehrmittel",GN 2947,18.10 - Deutsche Literatur,,ISBN: 9783766139689; ISBN: 3766139681,Anmerkungen:  Literaturverz. S. 97 - 98 ,,,,,,,,,1741456-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04176299,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21362312120003338&context=L&vid=ONB&lang=de_DE
,Symultanka,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Linke, Anna Maria [ÜbersetzerIn] ",Ingeborg Bachmann. Przełożyła: Anna M. Linke,,Simultan,Warszawa : Czytelnik,1975,,273 S.,,Polnisch,,,Wyd. 1..,,,,,,,,,,,,,,,1254801-A NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01856706,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218164090003338&context=L&vid=ONB&lang=de_DE
,Čára života,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Jacobsenová, Michaela, 1947- [ÜbersetzerIn] ",Ingeborg Bachmannová ; přeložila Michaela Jacobsenová,,,Zblov : Opus,2016,,151 Seiten; 20 cm,,Tschechisch,,Gesamttitel: Edice Opus svazek 55,V této podobě vydání první.,Anthologie ; Gedicht;Deutsch o;Tschechisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9788087048474; ISBN: 8087048474,"Anmerkungen:  Ursprünglich veröffentlicht in : Bachmann, Ingeborg : Werke Bd 1 (1978 ) und : Bachmann, Ingeborg: Ich weiß keine bessere Welt (2000 ) ",,,,,,,,,2103671-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC13763750,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21292217740003338&context=L&vid=ONB&lang=de_DE
,Simultan,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Sand Iversen, Karsten, 1944- [ÜbersetzerIn] ",Ingeborg Bachmann. På dansk ved Karsten Sand Iversen,,Simultan,København : Vandkunsten,2010,,230 S.; 18 cm,,Dänisch,,,"1. udg., 1. opl..",Novelle;Deutsch o;Dänisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9788776951160; ISBN: 8776951162,,,,,,,,,,2009118-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC10885008,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21239545110003338&context=L&vid=ONB&lang=de_DE
,In the storm of roses : selected poems,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Anderson, Mark, 1955- [ÜbersetzerIn] ","by Ingeborg Bachmann. Transl., ed., and introd. by Mark Anderson",,,"Princeton, NJ : Univ. Press",1986,,"X, 210 S.; 22 cm",,Englisch,,Gesamttitel:  The Lockert library of poetry in translation,,,,,,ISBN: 0691066728; ISBN: 0691014280,Aus d. Dt. übers.,,,,,,,,,1267858-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01496175,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339452410003338&context=L&vid=ONB&lang=de_DE
