Titel in Originalschrift,Titel,Person/Institution,Weitere Beteiligte,Verantwort.angabe,Quelle,Werktitel,Ort/Verlag,Jahr/Datierung,Weitere Angaben,Umfang/Illustr./Format,Verknüpfte Titel,Sprache,Jahr/Datierung,Weitere Titel,Ausgabe,Schlagwörter,Regensburger Verbundklassifikation,Basisklassifikation,Ordnungsgruppe,ISBN/ISSN/ISMN,Beschreibung,Einzelbände/Artikel,Linksammlung,Standort,Signaturen,Zum Inhalt,Incipit/Explicit,lds49,Univ. Angaben,Signatur/Inv-Nr. etc.,Bestandsangabe,Verfügbarkeit,Unselbst. Werk / Artikel,Bandangaben,Benutzungsrechte,Hinweis,Vorgänger/Nachfolger etc.,Zitierlink,Zitierlink,Permalink
,Christine Lavant : [Gedichte];Weitere Titel:  Ingeborg Bachmann : [Gedichte],"Lavant, Christine [VerfasserIn]","Bachmann, Ingeborg [MitwirkendeR]",,,,[Wien],[1957],,5 Bl.; 4°,,Deutsch,,,,,,,,,Anmerkungen:  [Kopft.] ,,,,,,,,,891704-C NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC11619361,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21257586100003338&context=L&vid=ONB&lang=de_DE
,"Der junge Lord : nach einer Parabel aus ""Der Scheik aus Allessandria und seine Sklaven"" von Wilhelm Hauff ; [Textbuch] ; komische Oper in zwei Akten","Henze, Hans Werner [VerfasserIn];Bachmann, Ingeborg [VerfasserIn]",,von Ingeborg Bachmann. Musik von Hans Werner Henze,,,Mainz [u.a.] : Schott,1965,,46 S.,,Deutsch,,,,,LT 54177;GN 2947,,,ISBN: 3795733553,,,,,,,,,,1025637-B MUS MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01436765,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21257335540003338&context=L&vid=ONB&lang=de_DE
,"Nelly Sachs zu Ehren : [Gedichte, Prosa, Beiträge]",,"Sachs, Nelly, 1891-1970 [GefeierteR] ;Bachmann, Ingeborg [MitwirkendeR] ",[Ingeborg Bachmann ...],,,Frankfurt a.M. : Suhrkamp,1961,,103 S.; Ill.,,Deutsch,,,,"Sachs, Nelly, 1891-1970;Aufsatzsammlung;Geschichte 1961;Sachs, Nelly, 1891-1970",GN 8798,18.10 - Deutsche Literatur,,,,,,,,,,,,952871-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC02055270,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21256194990003338&context=L&vid=ONB&lang=de_DE
,Nebelland,"Harms, Anja, 1960- [KünstlerIn]. [DruckerIn]. [BuchkünstlerIn] ;Bachmann, Ingeborg [TextdichterIn] ",,"Ingeborg Bachmann ; Linolschnitte, Satz, Buchdruck und buchbinderische Verarbeitung: Anja Harms",,,Oberursel : Anja Harms,2009,,35 ungezählte Blätter,,Deutsch,,,,Künstlerbuch,,,,,"Anmerkungen:  Dieses Buch erscheint in einer einmaligen numerierten und signierten Auflage von 25 Exemplaren ;Anmerkungen:  In Kassette ;Anmerkungen:  Gedichtabdruck aus: Ingeborg Bachmann: Werke, Band 1: Gedichte. München, Piper Verlag, 1978 ;Exemplar/Standort:  2243151-E ALT LUX;Hinweise:  Ex. 15/25 ; von der der Künstlerin signiert ;Einband:  japanische Bindung mit satiniertem Acrylglas in Kassette ",,,,,,,,,sw202737;2243151-E ALT LUX,,,,,,,,,http://data.onb.ac.at/rec/AC16986102,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21513099100003338&context=L&vid=ONB&lang=de_DE
,"Nebelland hab ich gesehen - Nebelherz hab ich gegessen : Gedichte aus ""Anrufung des Großen Bären"" : Siebdrucke zu Gedichten aus ""Anrufung ..."" ; [2 Hefte] : Gedichte : Gedichte aus ""Anrufung des Großen Bären"" / Ingeborg Bachmann",,"Bachmann, Ingeborg [MitwirkendeR] ;Bachmann, Ingeborg, 1926-1973 [MitwirkendeR] ;Merz, Albert, 1942- [MitwirkendeR] ",Ingeborg Bachmann ; Albert Merz,,,Berlin : Ed. Handpresse Gutsch,1987,,[13] Bl.,,Deutsch,,Nebent.: Ingeborg Bachmann,,Gedicht;Luxusausgabe,,,,,"Exemplar/Standort:  ALT;Hinweise:  Schrift: Cicero Sabon Antiqua. Satz: Maschinensetzerei Peter von Maikowski, Berlin. Druck: Peter Rensch. Bindung: Christian Klünder, Berlin Blauer Umschlag mit Darstellung der Sternbilder ""Großer Bär"" und ""Drache"" Einband Ex. 4/25 ",,,,,,,,,1755322-D.1 ALT LUX,,,,,,,,,http://data.onb.ac.at/rec/AC04365847,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21364488180003338&context=L&vid=ONB&lang=de_DE
,Die gestundete Zeit : Gedichte,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München [u.a.] : Piper,2011,,89 S.,,Deutsch,,Gesamttitel: Serie Piper 6499,,Gedicht ; Erzählende Literatur: Gegenwartsliteratur ab 1945 ; Lyrik;Deutsch,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9783492264990; ISBN: 3492264999,,,,,,,,,,1952089-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08521917,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21327152890003338&context=L&vid=ONB&lang=de_DE
,Izbrannoe : perevod s nemeckogo,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachman,,,Moskva : Progress,1981,,336 S.,,Russisch,,,,,,,,,In kyrill. Schr.,,,,,,,,,1187234-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01058178,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337306840003338&context=L&vid=ONB&lang=de_DE
,Die Fähre : Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann,,,München : Dt. Taschenbuch-Verl.,1982,,94 S.,,Deutsch,,Gesamttitel: Dtv 10014,,Anthologie ; Fiktionale Darstellung,GN 2947,,,ISBN: 3423100141,"Anmerkungen:  Lizenz d. Piper-Verl., München ",,,,,,,,,953948-B.10014 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC01057324,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337298700003338&context=L&vid=ONB&lang=de_DE
,Journal de guerre;Weitere Titel:  Suivi des Lettres de Jack Hamesh à Ingeborg Bachmann,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Rétif, Françoise [ÜbersetzerIn] ","Ingeborg Bachmann. Trad. de l'allemand et préface de Françoise Rétif. Éd. orginiale et postface de Hans Höller",,Kriegstagebuch,Arles : Actes Sud,2011,,118 S.; 19 cm,,Französisch,,Gesamttitel:  Lettres allemandes,1. éd..,"Bachmann, Ingeborg, 1926-1973;Tagebuch 1944-1945;Bachmann, Ingeborg, 1926-1973;Briefsammlung 1946-1947",,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9782330000462,,,,,,,,,,1971667-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08846454,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21328147730003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Boehm, Philip [ÜbersetzerIn] ",Ingeborg Bachmann ; translated from the German by Philip Boehm,,Malina,New York : New Directions,[2019],,"XIV, 283 Seiten; 22 cm",,Englisch,,Gesamttitel: A new directions paperbook 1445,First published.,"Fiktionale Darstellung ; Fiktionale Darstellung ; Roman;Frau;Women, EQ, https://d-nb.info/standards/elementset/gnd#equivalence, Aequivalenz, L:eng;Women, Psychology, EQ, https://d-nb.info/standards/elementset/gnd#equivalence, Aequivalenz, L:eng;Femmes, EQ, https://d-nb.info/standards/elementset/gnd#equivalence, Aequivalenz, L:fre;Femmes, Psychologie, EQ, https://d-nb.info/standards/elementset/gnd#equivalence, Aequivalenz, L:fre;Donne, EQ, https://d-nb.info/standards/elementset/gnd#equivalence, Aequivalenz, L:ita;Mujeres, EQ, https://d-nb.info/standards/elementset/gnd#equivalence, Aequivalenz, L:spa;women, =EQ, https://d-nb.info/standards/elementset/gnd#exactEquivalence, exakte Aequivalenz, L:eng;Women, =EQ, https://d-nb.info/standards/elementset/gnd#exactEquivalence, exakte Aequivalenz, L:eng;Frauen, EQ, https://d-nb.info/standards/elementset/gnd#equivalence, Aequivalenz;Frau, =EQ, https://d-nb.info/standards/elementset/gnd#exactEquivalence, exakte Aequivalenz;Ich-Auflösung;Dissociation (Psychology), EQ, https://d-nb.info/standards/elementset/gnd#equivalence, Aequivalenz, L:eng;Dissociation (psychologie), EQ, https://d-nb.info/standards/elementset/gnd#equivalence, Aequivalenz, L:fre",,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9780811228725,Anmerkungen:  Im Buch auch als Bd. 1440 bezeichnet ,,,,,,,,,2154191-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC15505176,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21410085190003338&context=L&vid=ONB&lang=de_DE
